tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2017,1,30529,"Hartford, CT",18,824080,211.99,17.62,1203,790300,219.1,18.19,1204.2,"Hartford, CT
(41.765775, -72.673356)",2017130529
Table 2,2017,1,30466,"Phoenix, AZ",64,5526130,198.53,17.2,1154.3,5263970,208,17.92,1160.8,"Phoenix, AZ
(30.406931, -87.217578)",2017130466
Table 2,2017,1,30436,"Tucson, AZ",13,401420,216.78,20.24,1070.8,387810,214.52,20.78,1032.4,"Tucson, AZ
(35.167852, -103.726151)",2017130436
Table 2,2017,1,30423,"Austin, TX",34,1833120,236.52,20.56,1150.3,1750670,227.65,19.73,1153.6,"Austin, TX
(30.264979, -97.746598)",2017130423
Table 2,2017,1,30397,"Atlanta, GA (Metropolitan Area)",58,5717990,196.06,22.41,875,5380420,204.55,23.2,881.9,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)",2017130397
Table 2,2017,1,30325,"Denver, CO",54,5697550,182.66,17.56,1040.3,5311070,191.67,18.35,1044.3,"Denver, CO
(39.738453, -104.984853)",2017130325
Table 2,2017,1,30257,"Albany, NY",9,287320,196.25,17.15,1144.4,284460,202.09,17.48,1156.1,"Albany, NY
(42.651242, -73.755418)",2017130257
Table 2,2017,1,30198,"Pittsburgh, PA",25,1079930,222.23,22.27,997.7,1050120,227.15,22.77,997.4,"Pittsburgh, PA
(40.442169, -79.994945)",2017130198
Table 2,2017,1,30194,"Dallas/Fort Worth, TX",67,6311920,200.35,20.87,960,6226350,187.98,19.63,957.7,"Dallas/Fort Worth, TX
(40.11086, -77.035636)",2017130194
Table 2,2017,1,30140,"Albuquerque, NM",16,502220,211.91,23.92,886,523370,205.23,23.4,876.9,"Albuquerque, NM
(35.084248, -106.649241)",2017130140
